"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/7/2019 7 p.m. EST",452262,448254,441529,446
US48,"12/7/2019 8 p.m. EST",456501,451766,445836,415
US48,"12/7/2019 9 p.m. EST",455953,450325,441465,-396
US48,"12/7/2019 10 p.m. EST",450122,441654,435086,-968
US48,"12/7/2019 11 p.m. EST",439552,428866,423782,-937
US48,"12/8/2019 12 a.m. EST",425354,410437,406486,-935
US48,"12/8/2019 1 a.m. EST",410142,398556,397141,-373
US48,"12/8/2019 2 a.m. EST",395677,388615,384911,606
US48,"12/8/2019 3 a.m. EST",388109,381511,378248,709
US48,"12/8/2019 4 a.m. EST",384020,378417,374059,114
US48,"12/8/2019 5 a.m. EST",383160,378867,374803,239
US48,"12/8/2019 6 a.m. EST",386186,383806,379342,450
US48,"12/8/2019 7 a.m. EST",394863,392916,388581,792
US48,"12/8/2019 8 a.m. EST",407499,404830,398612,351
US48,"12/8/2019 9 a.m. EST",418986,413572,407894,333
US48,"12/8/2019 10 a.m. EST",424246,418261,412144,307
US48,"12/8/2019 11 a.m. EST",423225,418978,412335,346
US48,"12/8/2019 12 p.m. EST",421017,417485,410714,579
US48,"12/8/2019 1 p.m. EST",419255,415422,408325,40
US48,"12/8/2019 2 p.m. EST",417148,413495,407653,900
US48,"12/8/2019 3 p.m. EST",416080,412485,406711,975
US48,"12/8/2019 4 p.m. EST",417262,415316,410022,1811
US48,"12/8/2019 5 p.m. EST",424049,424915,421815,1909
US48,"12/8/2019 6 p.m. EST",441474,437330,433886,1883
US48,"12/8/2019 7 p.m. EST",455810,447932,445268,1476
US48,"12/8/2019 8 p.m. EST",461598,452333,450676,716
US48,"12/8/2019 9 p.m. EST",460447,450147,446482,246
US48,"12/8/2019 10 p.m. EST",448579,438445,432804,93
US48,"12/8/2019 11 p.m. EST",430124,421184,414392,-613
US48,"12/9/2019 12 a.m. EST",408337,400522,401283,-755
US48,"12/9/2019 1 a.m. EST",388725,385306,375926,-90
US48,"12/9/2019 2 a.m. EST",378467,373119,367120,843
